name,average.bud,average.leaf
C1-P10,46.2,37.7
C1-P12,53.9,43.4
C1-P14,58.9,41.5
C2-P10,63,55.5
C2-P12,64.5,58.5
C2-P14,76.7,72
C3-P10,66.7,68.7
C3-P12,74,70.5
C3-P14,72.4,71.4
